Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,relevance,query_id,JobID
Backend Developer - Entry Level,Fresher,0–1 year,Node.js; Python; Java; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL basics; Git,Assist in building server-side applications; Develop RESTful APIs; Work with SQL/NoSQL databases; Participate in testing and debugging; Learn cloud deployment and security fundamentals,Backend Developer; Fresher; Server-Side Development; API Development; Cloud Awareness,1,Q2,1
Python Developer,Experienced,3,Python advanced; Async programming; Decorators; Generators; Django advanced; Flask advanced; FastAPI; TensorFlow basics; Scikit-learn; PyTorch basics; REST APIs; GraphQL basics; PostgreSQL; MySQL; NoSQL basics; SQLAlchemy; Docker basics; AWS basics; PyTest advanced; Leadership; Team collaboration,Develop and maintain advanced Python applications; Build RESTful APIs and GraphQL endpoints; Integrate Python with data science frameworks; Implement database optimizations; Follow DevOps practices with Docker and AWS; Mentor junior developers; Perform unit and integration testing with PyTest; Collaborate with cross-functional teams,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Python Developer,Experienced,4,Python advanced; Async programming; Decorators; Generators; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes basics; AWS basics; Leadership; Team collaboration,"Design and develop advanced Python applications; Implement RESTful APIs and GraphQL endpoints; Integrate Python with ML frameworks; Manage database optimization and migrations; Implement DevOps practices with Docker, AWS, and Kubernetes; Mentor junior developers; Conduct unit and integration testing; Collaborate with cross-functional teams",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Python Developer,Experienced,5,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration,"Lead Python development projects; Design REST APIs and GraphQL endpoints; Integrate with data science frameworks; Optimize databases and queries; Implement DevOps pipelines using Docker, Kubernetes, AWS; Mentor and guide junior developers; Perform testing and code reviews; Collaborate with cross-functional teams",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Software Engineer - Entry Level,Fresher,0-2,Java; SQL; Git; REST APIs; IntelliJ; GitHub,Develop secure applications using Java and SQL; Assist in debugging REST APIs; Collaborate in agile workflows; Contribute to integration testing; Document processes for clarity,Software Engineer; Java; SQL; REST API; Agile; Integration Testing; Debugging,1,Q2,se-f2
Software Engineer - Entry Level,Fresher,0-2,JavaScript; Vue.js; HTML; CSS; APIs; Git; VS Code; Figma,Develop front-end features using Vue.js and JavaScript; Ensure responsive UI design; Integrate APIs with senior developers’ guidance; Perform unit testing and follow agile methodologies; Collaborate to deliver user-focused applications,Software Engineer; Vue.js; JavaScript; UI/UX; Responsive Design; Agile; API Integration,0,Q2,se-f3
DevOps Engineer - Fresher,Fresher,0–1 year,Git; Jenkins; Docker; Kubernetes; GitHub/GitLab; AWS basics; Azure basics; GCP basics; Bash; Python; CI/CD basics; Linux fundamentals; Terraform/Ansible awareness,Assist in building CI/CD pipelines; Containerize applications with Docker; Deploy sample apps to cloud environments,DevOps; Cloud; Fresher; Entry-Level; CI/CD; Containerization,0,Q2,6
Backend Developer - Entry Level,Fresher,0–1 year,Node.js; Python; Java; Express.js; Django; Flask; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; Git; Agile; Docker,Server-side components for web and mobile apps; Assist in building RESTful APIs; Optimize database queries; Collaborate with frontend teams; Learn cloud deployment and DevOps fundamentals,Backend Developer; Fresher; API Development; Server-Side Development; Cloud Awareness,1,Q2,8
Python Developer,Experienced,6,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django advanced; Flask advanced; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration; Innovation management,"Lead Python development projects; Design and implement advanced APIs; Integrate Python applications with ML frameworks; Optimize databases and queries; Implement DevOps pipelines with Docker, Kubernetes, AWS; Mentor junior developers; Conduct testing, reviews, and quality assurance; Collaborate with cross-functional teams; Drive innovation initiatives",Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Software Engineer - Entry Level,Fresher,0-2,Node.js; MongoDB; Git; APIs; VS Code; Postman,Develop backend services with Node.js and MongoDB; Apply data structures and algorithms for efficiency; Assist in integration testing; Document processes for clarity; Collaborate in agile sprints,Software Engineer; Node.js; MongoDB; APIs; Agile; Integration Testing,1,Q2,se-f7
Software Engineer - Entry Level,Fresher,0-2,Python; REST APIs; Git; Machine Learning Basics; Jupyter Notebook; Azure,Develop intelligent applications using Python; Integrate REST APIs for ML models; Perform basic testing and debugging; Collaborate in agile workflows; Support cloud deployment on Azure,Software Engineer; Python; REST APIs; Machine Learning; Azure; Agile,1,Q2,se-f8
Backend Developer - Entry Level,Fresher,0–1 year,Node.js; Python; Java; Express.js; Django; Flask; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; Git; Agile,Assist in backend development; Develop APIs; Manage databases; Optimize performance; Learn cloud deployment and security fundamentals,Backend Developer; Fresher; API Development; Server-Side Development; Cloud Awareness,1,Q2,10
Python Developer,Experienced,5,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration; Innovation,Architect and implement Python applications; Develop REST and GraphQL APIs; Integrate ML frameworks; Optimize databases; Implement DevOps practices with Docker/Kubernetes/AWS; Mentor junior developers; Conduct testing and code reviews; Collaborate with teams and stakeholders; Drive innovation,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Software Engineer - Experienced,Experienced,3–5,Python; JavaScript; React; Node.js; Git; SQL; REST APIs; Docker; Agile; Unit Testing,Develop scalable web applications using React and Node.js; Integrate REST APIs and database systems; Participate in code reviews; Optimize application performance; Mentor junior engineers,Software Engineer; React; Node.js; Python; Agile; REST APIs; Unit Testing,0,Q2,se-e11
Python Developer,Experienced,6,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Project management; Innovation management,Lead architecture and development of Python applications; Build advanced REST and GraphQL APIs; Integrate ML frameworks; Optimize databases; Implement DevOps pipelines with Docker/Kubernetes/AWS; Mentor and manage teams; Conduct testing and code reviews; Collaborate with stakeholders; Drive innovation initiatives,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Software Engineer - Experienced,Experienced,4–6,Python; Django; REST APIs; SQL; Git; CI/CD; Docker; Agile; Testing; Mentoring,Develop backend services using Django; Integrate REST APIs and databases; Manage CI/CD pipelines; Ensure code quality and performance; Mentor junior engineers,Software Engineer; Python; Django; Backend; REST APIs; CI/CD; Mentoring,0,Q2,se-e13
Python Developer,Experienced,6,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Project management,Lead Python application architecture and development; Build REST and GraphQL APIs; Integrate ML frameworks; Optimize database performance; Implement DevOps with Docker/Kubernetes/AWS; Mentor developers; Conduct testing and reviews; Collaborate with teams and stakeholders,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Python Developer,Experienced,5,Python advanced; Async programming; Decorators; Generators; Metaprogramming; Django; Flask; FastAPI; TensorFlow; Scikit-learn; PyTorch; REST APIs; GraphQL; PostgreSQL; MySQL; NoSQL; SQLAlchemy; Docker; Kubernetes; AWS; Leadership; Team collaboration; Innovation management,Lead Python application projects; Design and implement APIs; Integrate ML frameworks; Optimize databases; Implement DevOps pipelines; Mentor junior developers; Conduct testing and code reviews; Collaborate with cross-functional teams; Drive innovation initiatives,Python; Django; Flask; REST APIs; Data Science; TensorFlow; Async Programming; Docker; AWS; PyTest,0,Q2,nan
Software Engineer - Experienced,Experienced,5–7,Python; Machine Learning; REST APIs; SQL; Git; Docker; Agile; Testing; AWS; CI/CD,Develop ML-powered applications using Python; Integrate REST APIs and databases; Ensure application scalability and performance; Deploy on AWS using Docker; Collaborate in Agile sprints,Software Engineer; Python; Machine Learning; REST APIs; AWS; Agile; Backend,0,Q2,se-e16
Backend Developer - Experienced,Experienced,5+ years,Python; Node.js; Django; Flask; Express.js; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; Git; Docker; Kubernetes; CI/CD; AWS; Azure; Agile; HIPAA compliance,Architect backend systems for healthcare applications; Develop APIs; Manage large-scale SQL/NoSQL databases; Implement caching strategies; Ensure HIPAA-compliant security,Backend Developer; Experienced; Healthcare; API Development; Cloud; Security,0,Q2,13
Software Engineer - Experienced,Experienced,7–10,Python; Django; REST APIs; PostgreSQL; Git; Docker; AWS; CI/CD; Agile; Team Leadership,Lead backend development with Django; Design and maintain REST APIs; Deploy applications on AWS using Docker; Ensure CI/CD best practices; Lead a team of junior developers,Software Engineer; Python; Django; Backend; AWS; CI/CD; Leadership,0,Q2,se-e19
Robotics Engineer,Experienced,12,"Python expert; C++ expert; MATLAB; ROS development; CAD/SolidWorks advanced; Advanced robotics control; Embedded systems expert; Sensor fusion; Computer vision; Machine learning; Simulation (Gazebo, RViz); Hardware interfacing; Team leadership; Project management; Innovation","Lead advanced robotics projects; Integrate sensors, control systems, and AI; Simulate and validate robotic applications; Mentor engineering teams; Drive innovation in robotics technology",Python; C++; MATLAB; ROS; Control Systems; CAD; Embedded Systems; Sensors; Machine Learning; Simulation; Leadership; Innovation,1,Q3,nan
AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,1,Q3,ai001
AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,1,Q3,ai002
